"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC","T_pumpB_out.T"
412,26.211676216125795,26.201766204415947,26.202521844902037,26.046392219458824,25.71955959695964,25.03873180386819,26.077844269550496
414,26.212331408584475,26.202550316708596,26.203295954347652,26.047056185435906,25.72010140188337,25.038763618130645,26.078386084036197
416,26.212976577444863,26.20332243111983,26.204058218785406,26.047709982924687,25.720634944212577,25.03879492945515,26.07891963576037
418,26.21361184007941,26.20408268527916,26.204808774267974,26.04835373047223,25.721160309709546,25.038825740937398,26.079445010487973
420,26.214237369406703,26.204831287058425,26.205547825967585,26.048987606856087,25.721677642210068,25.038856064938784,26.079962352057237
422,26.214853242938318,26.205568329561117,26.206275465892247,26.049611703259473,25.722186984515076,25.038885919397842,26.08047170327052
424,26.215459620623335,26.206294003479286,26.206991882339537,26.05022618229549,25.72268846707135,25.03891531166397,26.080973194577382
426,26.216056638459747,26.2070084711508,26.20769723563086,26.05083118582371,25.72318219486141,25.03894425216373,26.08146693096205
428,26.21664446562164,26.20771193546358,26.20839172606867,26.051426880011775,25.723668315540237,25.03897274625848,26.081953060082128
430,26.21722325959462,26.208404585019423,26.209075539869502,26.052013422463517,25.72414696172865,25.039000801094232,26.082431714561153
432,26.217793137787282,26.209086562103096,26.209748817482193,26.052590929785595,25.724618230432668,25.039028422802346,26.082902991407764
434,26.218354234227093,26.209758028655926,26.2104117187601,26.05315953362134,25.725082236117203,25.039055616730423,26.0833670050896
436,26.21890669095393,26.21041915518248,26.211064412047165,26.053719376849187,25.72553909620359,25.039082390293117,26.08382387303027
438,26.21945064676771,26.2110701087243,26.211707062253538,26.054270597805328,25.725988926917182,25.039108750068806,26.08427371145808
440,26.219986186414815,26.211710988608786,26.21233976740433,26.05481329764683,25.726431787519516,25.03913470610547,26.084716579635767
442,26.22051345534618,26.212341970209366,26.21296270063914,26.055347619283282,25.726867801245646,25.039160264555164,26.085152600800484
444,26.221032583716408,26.21296320973778,26.21357601617177,26.055873695104594,25.727297075210174,25.039185432550823,26.085581882069675
446,26.221543699345432,26.213574860481174,26.214179865326116,26.056391655893833,25.7277197140682,25.03921021737625,26.086004528100375
448,26.222046930053637,26.214177075726695,26.214774399426062,26.056901632434858,25.72813582247403,25.039234626314794,26.086420643549445
450,26.22254240366084,26.21477000876115,26.215359769796066,26.05740375551119,25.72854550508208,25.0392586666498,26.08683033307375
452,26.223030247987197,26.215353812871683,26.215936127760244,26.057898155906344,25.728948866547455,25.03928234566439,26.087233701330433
454,26.223510582851475,26.21592863199868,26.216503615379395,26.058384944608008,25.729346021061303,25.039305659926015,26.08763086251122
456,26.223983521807156,26.2164946027645,26.217062367461892,26.058864217104258,25.729737090281844,25.03932859761079,26.08802193827438
458,26.22444920342133,26.217051891009476,26.217612547773285,26.059336130766553,25.73012216605531,25.0393511803955,26.088407020470072
