"time","tank1.medium.T_degC","tank.medium.T_degC","tank11.medium.T_degC"
672,26.256558548484406,26.256698442973004,25.471179467537866
674,26.25658894185534,26.25672599001956,25.471194352309737
676,26.256618740956412,26.256752998439936,25.471208946108106
678,26.256647956670747,26.25677947809885,25.471223254279778
680,26.25667659953814,26.256805438550998,25.471237282003983
682,26.256704679755387,26.25683088903969,25.471251034293175
684,26.2567322071763,26.256855838497756,25.471264515992686
686,26.25675919131146,26.256880295547205,25.471277731780958
688,26.25678564132835,26.256904268499,25.471290686169425
690,26.25681156605168,26.256927765353964,25.471303383502175
692,26.256836973962947,26.256950793800854,25.47131582795697
694,26.25686187320042,26.256973361218968,25.47132802354389
696,26.256886271559495,26.256995474675875,25.471339974106343
698,26.256910187877622,26.257017151253933,25.47135168878225
700,26.25693369298159,26.25703845518359,25.47136320164651
702,26.25695673860838,26.257059342695527,25.471374489643893
704,26.25697933326802,26.257079821506807,25.471385556950565
706,26.257001485215767,26.257099899104162,25.471396407618442
708,26.2570232024529,26.257119582743883,25.471407045574722
710,26.25704449272581,26.257138879451702,25.471417474622456
712,26.25706536352692,26.257157796023364,25.47142769843998
714,26.257085822094325,26.257176339024056,25.47143772058149
716,26.25710587541124,26.25719451478841,25.471447544476348
718,26.257125530207134,26.257212329420952,25.471457173429542
720,26.257144792956467,26.257229788795655,25.47146661062169
722,26.25716366988007,26.257246898556048,25.471475859109262
724,26.257182166943664,26.25726366411544,25.47148492182322
726,26.2572002898591,26.257280090656934,25.471493801571285
728,26.257218044083572,26.25729618313295,25.4715025010359
730,26.25723545176669,26.257311961525204,25.471511030758222
732,26.25725256531763,26.257327473062503,25.471519415528235
734,26.257269343026735,26.25734268022103,25.47152763579669
736,26.257285791090396,26.25735758861316,25.471535694575834
738,26.257301915518212,26.25737220368279,25.471543594785715
740,26.25731772213527,26.25738653070499,25.471551339253836
742,26.257333216579752,26.25740057478646,25.4715589307163
744,26.25734840430465,26.257414340865182,25.47156637181621
746,26.257363290577302,26.257427833710096,25.47157366510504
748,26.257377880478714,26.25744105792222,25.471580813042067
750,26.25739217890458,26.257454017933412,25.471587817994134
752,26.25740619056438,26.257466718007493,25.471594682236343
754,26.25741991998217,26.257479162238894,25.47160140795114
756,26.257433371496234,26.257491354553906,25.471607997229114
758,26.257446549258646,26.257503298710446,25.471614452068764
760,26.257459457236166,26.25751499829704,25.471620774376277
762,26.25747211757613,26.25752647342989,25.47162697541529
764,26.25748456202001,26.257537752946007,25.471633071389135
766,26.257496761677032,26.257548810567812,25.471639047309225
768,26.257508721150373,26.257559650463747,25.471644905423034
770,26.25752044491088,26.257570276682543,25.47165064791335
772,26.2575319372973,26.25758069315299,25.471656276898727
774,26.257543202516615,26.257590903684388,25.471661794432578
776,26.25755424464313,26.257600911966108,25.47166720250442
778,26.25756506761951,26.257610721567687,25.471672503039088
780,26.257575675256078,26.25762033593861,25.471677697896382
782,26.257586071231287,26.257629758408882,25.47168278887233
784,26.257596259091144,26.257638992188333,25.471687777698037
786,26.257606242250006,26.257648040367542,25.471692666039928
788,26.257616023989783,26.25765690591669,25.471697455500077
790,26.257625607460398,26.25766559168659,25.471702147616213
792,26.257634995679894,26.257674100407996,25.47170674386092
794,26.25764420649392,26.257682448362004,25.471711253230353
796,26.257653254684044,26.25769064903028,25.47171568316827
798,26.257662124982232,26.257698688437074,25.47172002588144
800,26.257670820756573,26.257706569637378,25.4717242830298
802,26.25767934527738,26.25771429559694,25.471728456227254
804,26.25768770171686,26.25772186919272,25.47173254703938
806,26.257695893149105,26.257729293213572,25.47173655698515
808,26.257703922550547,26.257736570359214,25.471740487536238
810,26.25771179279883,26.257743703240692,25.471744340116686
812,26.257719506674505,26.257750694380718,25.471748116103697
814,26.257727066859218,26.257757546212986,25.47175181682718
816,26.257734475937525,26.25776426108274,25.471755443569293
818,26.257741736395303,26.25777084124644,25.471758997565473
820,26.257748850620544,26.25777728887209,25.4717624800042
822,26.257755820903583,26.257783606038686,25.471765892025758
824,26.257762649436074,26.25778979473654,25.47176923472381
826,26.25776934804395,26.257795865654145,25.471772513634903
828,26.257775922449298,26.257801823968464,25.471775731476725
830,26.257782366823392,26.25780766442807,25.47177888563664
832,26.257788683684055,26.257813389316823,25.47178197735019
834,26.257794875499997,26.257819000874008,25.471785007828373
836,26.257800944690928,26.25782450129492,25.471787978257964
838,26.257806893630402,26.257829892732445,25.47179088980164
840,26.257812724646726,26.25783517729866,25.47179374359979
842,26.257818440023755,26.257840357065504,25.4717965407703
844,26.257824042003165,26.257845434066382,25.47179928240911
846,26.257829532785138,26.257850410297294,25.47180196959124
848,26.25783491453086,26.257855287718655,25.471804603371595
850,26.257840189362184,26.257860068255525,25.47180718478552
852,26.25784535936515,26.257864753799765,25.471809714848575
854,26.2578504265893,26.257869346210953,25.471812194558822
856,26.25785539305099,26.257873847317853,25.47181462489567
858,26.257860261283156,26.25787825939409,25.47181700732807
860,26.25786503326293,26.257882584232163,25.4718193428252
862,26.25786971061308,26.257886823316483,25.471821632041895
864,26.2578742952615,26.257890978394755,25.47182387592551
866,26.25787878911143,26.257895051191383,25.47182607541032
868,26.257883194043245,26.25789904340985,25.47182823141935
870,26.25788751191527,26.25790295673363,25.471830344864486
872,26.257891744565484,26.257906792827896,25.4718324166476
874,26.257895893813327,26.257910553340082,25.47183444766091
876,26.257899961460623,26.25791423990205,25.471836438787875
878,26.257903949293734,26.25791785413088,25.47183839090377
880,26.257907859084014,26.257921397630582,25.47184030487648
882,26.257911692590653,26.257924871992884,25.471842181567183
884,26.257915451561132,26.25792827879974,25.471844021831373
886,26.2579191377327,26.25793161962264,25.4718458265192
888,26.25792275283453,26.2579348960258,25.471847596475925
890,26.257926290823036,26.257938102598303,25.47184932875774
892,26.257929754998088,26.257941242313393,25.47185102497525
894,26.257933149873622,26.257944319233445,25.471852687330227
896,26.2579364767401,26.257947334527273,25.471854316452493
898,26.257939736858873,26.257950289337998,25.47185591295778
900,26.257942931462537,26.257953184782366,25.471857477446463
902,26.2579460617564,26.257956021951998,25.471859010505966
904,26.257949128918142,26.257958801913958,25.471860512709497
906,26.257952134098616,26.25796152571087,25.471861984616623
908,26.257955078423663,26.257964194362046,25.471863426774178
910,26.257957962992975,26.25796680886384,25.471864839716034
912,26.2579607888826,26.25796937019055,25.471866223963787
914,26.257963557144024,26.257971879294303,25.471867580026753
916,26.257966268805774,26.257974337106646,25.471868908402087
918,26.257968924874092,26.257976744538325,25.47187020957591
920,26.257971526332824,26.257979102480192,25.471871484023097
922,26.25797407414501,26.25798141180377,25.471872732207487
924,26.257976569252776,26.25798367336239,25.471873954582122
926,26.2579790125788,26.2579858879904,25.471875151590382
928,26.2579814050261,26.25798805650544,25.471876323664958
930,26.257983747479386,26.257990179707633,25.471877471229675
932,26.25798604080552,26.25799225838165,25.471878594698467
934,26.257988285853628,26.25799429329544,25.471879694476513
936,26.25799048345681,26.257996285202637,25.471880770960126
938,26.257992634432128,26.25799823484209,25.471881824537775
940,26.257994739581193,26.258000142938783,25.471882855589286
942,26.25799679969117,26.258002010204166,25.471883864486983
944,26.25799881553513,26.25800383733764,25.47188485159569
946,26.258000787873186,26.25800562502576,25.471885817273403
948,26.258002717452484,26.258007373944167,25.471886761870735
950,26.258004605008693,26.25800908475736,25.471887685732725
952,26.258006451265885,26.258010758119383,25.471888589197363
954,26.25800829491078,26.2580124292179,25.47188949238756
956,26.258010109436498,26.258014073940615,25.471890381500145
958,26.25801188973213,26.258015687634895,25.471891253846195
960,26.258013636618728,26.258017271044025,25.47189210982475
962,26.258015350898233,26.258018824894123,25.47189294982587
964,26.258017033354975,26.258020349895276,25.471893774230637
966,26.258018684754404,26.25802184673995,25.47189458341103
968,26.2580203058439,26.258023316105152,25.471895377729936
970,26.25802189735242,26.25802475865015,25.47189615754104
972,26.25802345999051,26.2580261750183,25.47189692318949
974,26.25802499445018,26.25802756583579,25.471897675010553
976,26.25802650140548,26.25802893171243,25.471898413331644
978,26.25802798151193,26.258030273241104,25.471899138469723
980,26.258029435406286,26.25803159099854,25.471899850733678
982,26.258030863707916,26.258032885544196,25.471900550422845
984,26.258032267016404,26.258034157421264,25.47190123782792
986,26.25803364591451,26.258035407156,25.471901913230283
988,26.258035000965435,26.258036635258293,25.471902576902096
990,26.258036332714425,26.258037842221086,25.47190322910666
992,26.258037641688873,26.25803902852107,25.4719038700984
994,26.258038928396957,26.25804019461765,25.471904500122434
996,26.25804019332901,26.25804134095398,25.471905119414544
998,26.25804143695683,26.2580424679565,25.471905728202216
1000,26.25804265973369,26.25804357603505,25.47190632670339
1000,26.25804265973369,26.25804357603505,25.47190632670339
